code,nom,dci,forme,dosage
6118000031888,PARASPHAN,PARACETAMOL / ACIDE ACETYLSALICYLIQUE,COMPRIME EFFERVESCENT,135 / 265 MG / MG
6118010007033,LAMIVIR,LAMIVUDINE,SOLUTION BUVABLE,50 MG
6118010020339,ESTREVA,ESTRADIOL,GEL,0.1 %
6118000050629,ANGINIB,LOSARTAN,COMPRIME ENROBE,50 MG
6118001140268,EPIVIR,LAMIVUDINE,SOLUTION BUVABLE,10 MG
6118000170358,CANESTEN,CLOTRIMAZOLE,CREME,1 %
6118001230082,NONAN,MULTIPLE,SOLUTION POUR PERFUSION,nan nan
6118010024603,MACROMAX 200MG/5ML,AZITHROMYCINE,POUDRE POUR SUSPENSION BUVABLE,200 MG
6118001270217,ONDANSETRON GT,ONDANSETRON,SOLUTION INJECTABLE,8 MG
6118000180074,BRONCHOCIST ADULTES,CARBOCYSTEINE,SOLUTION BUVABLE,2 %
6118010121968,ZINOXIME 1.5 G IV,CEFUROXIME,POUDRE POUR SOLUTION INJECTABLE,1.5 G
6118001020621,"MARCAINE 0,50 %",BUPIVACAINE,SOLUTION INJECTABLE,0.5 %
6118010120657,MICROPAKINE LP 250 MG,VALPROATE DE SODIUM,GRANULE LP,250 MG
6118000130246,FLUCTINE GENPHARMA,FLUOXETINE,GELULE,20 MG
6118010118678,EFFEXOR LP 75 MG,VENLAFAXINE,GELULE LP,75 MG
6118000061465,STILNOX,ZOLPIDEM,COMPRIME PELLICULE SECABLE,10 MG
6118010025945,CEBEMYXINE COLLYRE,POLYMYXINE B / NEOMYCINE,COLLYRE,0.1 / 0.34 MUI / MUI
6118001120291,NORDITROPINE,SOMATROPINE,POUDRE POUR SOLUTION INJECTABLE,12 UI
6118000250760,MUCILAR ADULTES,CARBOCYSTEINE,SIROP,5 %
6118001070381,LOCERYL,AMOROLFINE,SOLUTION POUR APPLICATION LOCALE,5 %
6118000090687,QUINOLOX,OFLOXACINE,COMPRIME PELLICULE,200 MG
6118000091271,KANAMED PHARMA,KANAMYCINE,POUDRE POUR SOLUTION INJECTABLE,1 G
6118001141258,VENTOLINE,SALBUTAMOL,SUSPENSION POUR INHALATION BUCCALE,100 µG
6118001270750,TOPIRAMATE GT 25 MG,TOPIRAMATE,COMPRIME PELLICULE,25 MG
6118000071624,BELMAZOL 20MG,OMEPRAZOLE,GELULE,20 MG
6118001210152,VENOFER 100 MG/5ML,FER,SOLUTION INJECTABLE IV,100 / 5 MG/ML
6118000081128,BIGUAN 500,METFORMINE,COMPRIME,500 MG
6118000250036,CARDURA,DOXAZOSINE,COMPRIME,1 MG
6118010035616,SERUM ANTITETANIQUE 1500 UI/ML,IMMUNOGLOBULINES ANTITETANIQUES,SOLUTION INJECTABLE,nan nan
6118001121137,KENALCOL,TRIAMCINOLONE / CHLORURE DE BENZALKONIUM,SOLUTION POUR APPLICATION LOCALE,44.5 / 22.25 MG / MG
6118000190158,BIOTIC PLUS,AMOXICILLINE / ACIDE CLAVULANIQUE,COMPRIME ENROBE,500 / 125 MG / MG
6118000020288,SULFA-BLEU,SULFACETAMIDE / TETRAMETHYLTHIONINE,COLLYRE,10 / 0.01 % / %
6118001250899,MEGAFLOX IV,CIPROFLOXACINE,SOLUTION POUR PERFUSION,200 MG
6118000240631,LORACTYNE,LORATADINE,COMPRIME,10 MG
6118000120353,FAZOL G,ISOCONAZOLE,OVULE,300 MG
6118001141401,ZINNAT,CEFUROXIME,COMPRIME PELLICULE,125 MG
6118001110650,ANCOTIL,FLUCYTOSINE,SOLUTION POUR PERFUSION,2.5 G
6118010020483,TEGUMA,TERBINAFINE,COMPRIME,250 MG
6118001030880,MYFORTIC 360 MG,ACIDE MYCOPHENOLIQUE,COMPRIME PELLICULE GASTRO-RESISTANT,360 MG
6118010115745,ORAPRED 5 MG,PREDNISOLONE,COMPRIME EFFERVESCENT,5 MG
6118001100668,NAAXIA,ACIDE N-ACETYL ASPARTYLGLUTAMIQUE,COLLYRE,4.9 G
6118000031567,GLUCOSE 30% LAPROPHAN,GLUCOSE,SOLUTION POUR PERFUSION,30 %
6118001050536,TIBERAL,ORNIDAZOLE,SOLUTION POUR PERFUSION,500 MG
6118001120031,ENDOXAN 200 MG,CYCLOPHOSPHAMIDE,POUDRE POUR SOLUTION INJECTABLE IV,200 MG
6118010019838,EUCARBON,CHARBON VEGETAL,COMPRIME,nan nan
6118001010233,TAFEN,TAMOXIFENE,COMPRIME,20 MG
6118000031185,AXIMYCINE,AMOXICILLINE,POUDRE POUR SOLUTION INJECTABLE,1 G
6118001030903,EXFORGE HCT 10MG/160MG/25MG,AMLODIPINE / VALSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,10/160/25 MG / MG / MG
6118000071495,TECPRIL,RAMIPRIL,GELULE,10 MG
6118000090403,INDOPHARM,INDOMETACINE,SUPPOSITOIRE,100 MG
6118001170197,NEURONTIN,GABAPENTINE,GELULE,300 MG
6118001140039,ALKERAN,MELPHALAN,COMPRIME,2 MG
6118000012313,BARALGIN M,METAMIZOLE,COMPRIME PELLICULE,500 MG
6118000081012,NORBILINE,PROZAPINE,SOLUTION BUVABLE,2 MG
6118000011132,MYNOCINE,MINOCYCLINE,GELULE,100 MG
6118000080350,BIOSEL,CHLORURE DE SODIUM / CITRATE TRISODIQUE,POUDRE POUR SOLUTION BUVABLE,3.5 / 2.9 G / G
6118000030386,OPTICILLINE,AMPICILLINE,POUDRE POUR SUSPENSION BUVABLE,125 MG
6118000031635,LIDOCAINE 1% LAPROPHAN,LIDOCAINE,SOLUTION INJECTABLE,1 %
6118000240044,AUREOMYCINE 1%,CHLORTETRACYCLINE,POMMADE OPHTALMIQUE,1 %
6118000081456,SPECTRUM 500,CIPROFLOXACINE,COMPRIME PELLICULE,500 MG
6118010028984,NOVALGINE,METAMIZOLE,SUPPOSITOIRE,1 G
6118000160212,AUGMENTIN,AMOXICILLINE / ACIDE CLAVULANIQUE,COMPRIME PELLICULE,500 / 125 MG / MG
6118000241010,"ATROPINE SULFATE 0,50 MG",ATROPINE,SOLUTION INJECTABLE,0.5 MG
6118000032748,VITATLON PLUS,ACIDE ASCORBIQUE (VITAMINE C) / PYRIDOXINE (VITAMINE B6) / NICOTINAMIDE (VIT PP),COMPRIME EFFERVESCENT,500 MG / NA / NA
6118001141210,TWINRIX (PEDIATRIQUE),VACCIN ANTI-HEPATITE A ET B,SUSPENSION INJECTABLE,0 nan
6118000040088,BIOGAZE PM,NIAOULI / THYM,COMPRESSE IMPREGNEE,85.55 / 56.55 MG / MG
6118001181117,FENTANYL JANSSEN 100 µG/2 ML,FENTANYL,SOLUTION INJECTABLE,100 µG
6118010118968,PARANTAL 3%,PARACETAMOL,SOLUTION BUVABLE,3 %
6118001290062,LITAK 10,CLADRIBINE,SOLUTION POUR INJECTION SOUS-CUTANEE OU PERFUSION IV,10 MG
6118000170237,SUPRADYNE SANS SUCRE,MULTIVITAMINES ET MINERAUX,COMPRIME EFFERVESCENT,nan nan
6118000061458,SOLIAN,AMISULPRIDE,COMPRIME SECABLE,50 MG
6118000130352,ACIDAC,RANITIDINE,COMPRIME ENROBE,300 MG
6118000330370,PEDOVEX 75 MG,CLOPIDOGREL,COMPRIME PELLICULE,75 MG
6118000120667,TENSIOTEC,RAMIPRIL,GELULE,5 MG
6118001160020,ARCOXIA,ETORICOXIB,COMPRIME PELLICULE,60 MG
6118000120162,ARACTINE,CYPROHEPTADINE,COMPRIME,4 MG
6118000190455,GASTROGEL,HYDROXYDE D'ALUMINIUM / HYDROXYDE DE MAGNESIUM,COMPRIME,400 / 400 MG / MG
6118000180470,THEOPHYLLINE BRUNEAU ADULTE,THEOPHYLLINE,SUPPOSITOIRE,350 MG
6118000140559,XENID,DICLOFENAC,SUPPOSITOIRE,100 MG
6118000071617,NOPOROSE 35 MG,RISEDRONATE,COMPRIME PELLICULE,35 MG
6118000061038,PENICILLINE G 1 MEG,BENZYLPENICILLINE,POUDRE POUR SOLUTION INJECTABLE,1 MUI
6118000021964,SOCLAV ENFANT,AMOXICILLINE / ACIDE CLAVULANIQUE,POUDRE POUR SUSPENSION BUVABLE,100 / 12.5 MG / MG
6118001200023,ANDROTARDYL,TESTOSTERONE,SOLUTION INJECTABLE,250 MG
6118000290094,DECADRON,DEXAMETHASONE,COMPRIME SECABLE,0.5 MG
6118010035005,ERYACNE,ERYTHROMYCINE,GEL,4 %
6118010029745,SURGESTONE,PROMEGESTONE,COMPRIME,0.25 MG
6118001081233,MONO-TILDIEM LP,DILTIAZEM,GELULE LP,300 MG
6118001140657,IMIGRAN,SUMATRIPTAN,COMPRIME PELLICULE,50 MG
6118000011576,TEMESTA,LORAZEPAM,COMPRIME SECABLE,2.5 MG
6118000250265,INDUCTAN,TRIMEBUTINE,SUPPOSITOIRE,100 MG
6118000180524,TROPHIRES NOURRISSONS,HUILE ESSENTIELLE DEUCALYPTUS / TENOATE DE SODIUM,SUPPOSITOIRE,44 / 95 MG / MG
6118000130413,AMCARD,AMLODIPINE,COMPRIME,5 MG
6118001101795,UMAX 400 µG LP,TAMSULOSINE,GELULE LP,0.4 MG
6118001040612,SIFROL 1.05 MG,PRAMIPEXOLE,COMPRIME LP,1.05 MG
6118001030897,EXFORGE HCT 10MG/160MG/12.5MG,AMLODIPINE / VALSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,10/160/12.5 MG / MG / MG
6118001090099,CHRONADALATE L.P,NIFEDIPINE,COMPRIME OSMOTIQUE LP,60 MG
6118010125560,ADO 1000MG,METFORMINE,COMPRIME PELLICULE,1000 MG
6118001230020,DIALYSE PERITONEALE BIEFFE FORMULE 62,CONCENTRE POUR DIALYSE PERITONEALE,SOLUTION POUR DIALYSE PERITONEALE,nan nan
6118001150434,OKA-DOCETAXEL,DOCETAXEL,SOLUTION A DILUER POUR PERFUSION,20 MG
6118000160304,BETNEVAL NEOMYCINE,BETAMETHASONE / NEOMYCINE,POMMADE,0.1 / 0.35 G / G
6118010116261,ALFATIL LP,CEFACLOR,COMPRIME LP,750 MG
6118001110032,MESTINON,PYRIDOSTIGMINE,COMPRIME ENROBE,60 MG
6118000240242,CODENFAN 1 MG/ML,CODEINE,SIROP,1 MG
6118010118524,ESAC 20MG,ESOMEPRAZOLE,GELULE,20 MG
6118001050413,ROCEPHIN IM,CEFTRIAXONE,POUDRE POUR SOLUTION INJECTABLE,1 G
6118000120605,IMIDAZOL,FLUCONAZOLE,GELULE,150 MG
6118001190010,METILBETASONE,METHYLPREDNISOLONE,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,80 MG
6118000020905,UMULINE PROFIL 30,INSULINE HUMAINE,SUSPENSION INJECTABLE INTERMEDIAIRE,100 UI
6118000060741,LASILIX RETARD,FUROSEMIDE,GELULE LP,30 MG
6118010020322,CARBOPLATINE MYLAN,CARBOPLATINE,SOLUTION POUR PERFUSION,600 MG
6118000230168,MYCODERME 150 MG,ECONAZOLE,OVULE,150 MG
6118001081066,DEPAKINE,VALPROATE DE SODIUM,COMPRIME GASTRO-RESISTANT,500 MG
6118001230600,TEGELINE 50 MG/ML,IMMUNOGLOBULINE HUMAINE NORMALE,POUDRE POUR SOLUTION POUR PERFUSION,5 G/100ML
6118000021575,CHLORURE DE SODIUM 0.9% SOTHEMA,CHLORURE DE SODIUM,SOLUTION POUR PERFUSION,0.9 %
6118010025105,PURINOL,ALLOPURINOL,COMPRIME,100 MG
6118001183951,PREVENAR 13,POLYOSIDES PNEUMOCOCCIQUES,SUSPENSION INJECTABLE,nan nan
6118000040156,CATAPRESSAN,CLONIDINE,COMPRIME SECABLE,0.15 MG
6118001050390,ROACCUTANE,ISOTRETINOINE,CAPSULE MOLLE,10 MG
6118000090700,RIFAMPICINE PHARMA,RIFAMPICINE,GELULE,150 MG
6118010120817,AMLODIPINE GT,AMLODIPINE,COMPRIME SECABLE,5 MG
6118001140688,IMUREL,AZATHIOPRINE,COMPRIME PELLICULE,50 MG
6118010000546,NURODOL,IBUPROFENE,COMPRIME ENROBE,200 MG
6118010019333,AVOSTAV,STAVUDINE,GELULE,40 MG
6118001270149,FRAKIDEX POMMADE,DEXAMETHASONE / FRAMYCETINE,POMMADE OPHTALMIQUE,5 / 15750 MG / UI
6118000190530,HEXIDYL,HEXETIDINE,SOLUTION POUR BAIN DE BOUCHE,0.1 G
6118001140169,AZANTAC,RANITIDINE,SOLUTION INJECTABLE,50 MG
6118001080465,LOVENOX,ENOXAPARINE,SOLUTION INJECTABLE,4000 UI ANTI-XA
6118010023477,AMUCHIN 3,CHLOROXYDANT / ELECTROLYTIQUE,SOLUTION POUR APPLICATION LOCALE,0.033 / 0.54 G / G
6118001183661,DOCEWIN 20 MG/0.5 ML,DOCETAXEL,SOLUTION A DILUER POUR PERFUSION,20 MG
6118001121199,NOVOSEVEN 60 KUI *,EPTACOG ALPHA ACTIVE ( R FVII),POUDRE POUR SOLUTION INJECTABLE,1.2 MG
6118001251254,DOCETAXEL HOSPIRA 10 MG/ML,DOCETAXEL,SOLUTION A DILUER POUR PERFUSION,80 MG
6118000140962,BI-ORAGIN 1.5 MUI/250 MG,SPIRAMYCINE / METRONIDAZOLE,COMPRIME PELLICULE SECABLE,1.5 / 250 MUI / MG
6118010120473,ARANESP 10 µG,DARBEPOETIN ALFA,SOLUTION INJECTABLE,10 µG
6118001030392,VOLTARENE,DICLOFENAC,SOLUTION INJECTABLE,75 MG
6118001270859,TOPIRAMATE GT 200 MG,TOPIRAMATE,COMPRIME PELLICULE,200 MG
6118010032530,CROMEDIL 2 POUR CENT,CROMOGLYCATE DE SODIUM,COLLYRE,2 %
6118000290032,CO-RENITEC,ENALAPRIL / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,20 / 12.5 MG / MG
6118000130284,NEKAR,KETOTIFENE,COMPRIME,1 MG
6118000013167,SIMVASTATINE WIN 20 MG,SIMVASTATINE,COMPRIME PELLICULE SECABLE,20 MG
6118000180104,CATALGINE NORMALE,ACIDE ACETYLSALICYLIQUE,POUDRE POUR SOLUTION BUVABLE,500 MG
6118000120704,FLUMYK,FLUCONAZOLE,GELULE,150 MG
6118001330010,OCTANATE 50 UI/ML,FACTEUR VIII,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,250 UI
6118000012818,AMLODIPINE WIN,AMLODIPINE,COMPRIME,5 MG
6118000081876,VOGASET,ONDANSETRON,SOLUTION A DILUER POUR PERFUSION,8 MG
6118010008054,VISCERALGINE,TIEMONIUM,SIROP,10 MG
6118010120510,ARANESP 50 µG,DARBEPOETIN ALFA,SOLUTION INJECTABLE,50 µG
6118001040094,COMBIVENT,IPRATROPIUM / SALBUTAMOL,SUSPENSION POUR INHALATION,100 / 20 µG / µG
6118010034985,MEBO,BAICALLINE / SITOSTEROL,CREME,NA / 0.25 NA / %
6118000032366,DI-INDO,INDOMETACINE,COMPRIME EFFERVESCENT,25 MG
6118001020690,RHINOCORT,BUDESONIDE,SUSPENSION NASALE,64 µG
6118000160984,ZYLORIC,ALLOPURINOL,COMPRIME,300 MG
6118010024221,ETHAMBUTOL PHARMA,ETHAMBUTOL,COMPRIME,500 MG
6118010120374,LUCENTIS 10MG/ML,RANIBIZUMAB,SOLUTION INJECTABLE,10 MG
6118000270027,AULIN,NIMESULIDE,COMPRIME,100 MG
6118000081067,VOGALENE,METOPIMAZINE,SOLUTION POUR GOUTTES BUVABLES,0.4 %
6118000242178,C-BAC 500 MG,CLARITHROMYCINE,COMPRIME ENROBE,500 MG
6118001151387,S-CITAP 20 MG,ESCITALOPRAM,COMPRIME PELLICULE,20 MG
6118000080626,GLUCOPHAGE 500,METFORMINE,COMPRIME PELLICULE,500 MG
6118000190462,GLYAZID,GLICLAZIDE,COMPRIME SECABLE,80 MG
6118001100330,KLEAN PREP,MULTIPLE,POUDRE POUR SOLUTION BUVABLE,nan nan
6118001070015,ACTICARBINE,CHARBON ACTIVE / PAPAVERINE,COMPRIME ENROBE,70 / 14 MG / MG
6118001141302,VOLMAX,SALBUTAMOL,COMPRIME LP,4 MG
6118001140374,FLIXOTIDE DISKUS,FLUTICASONE,SUSPENSION POUR INHALATION,250 µG
6118001070299,HUMALOG MIX 25,INSULINE HUMAINE,SUSPENSION INJECTABLE INTERMEDIAIRE,100 UI
6118001030064,ALPHAGAN,BRIMONIDINE,COLLYRE,0.2 %
6118000030942,NIFLURIL,ACIDE NIFLUMIQUE,POMMADE,3 %
6118000310082,KETOFLEX,KETOPROFENE,GELULE,50 MG
6118001250776,NUPENTIN,GABAPENTINE,GELULE,300 MG
6118001141906,ARIXTRA 2.5 MG/0.5 ML,FONDAPARINUX SODIQUE,SOLUTION INJECTABLE,2.5 MG
6118001140237,DEROXAT,PAROXETINE,COMPRIME PELLICULE SECABLE,20 MG
6118001200412,EBETAXEL,PACLITAXEL,SOLUTION A DILUER POUR PERFUSION,300 MG
6118001110599,RESORCELL,CELLULOSE OXYDEE,BOULETTE,nan nan
6118000240594,OMEPRAL,OMEPRAZOLE,GELULE,20 MG
6118000032625,HISTANORM,LORATADINE,COMPRIME,10 MG
6118010020506,SUPRIMASE DUO,FLUCONAZOLE,GELULE,150 MG
6118001170463,ZELDOX 20MG/ML,ZIPRASIDONE,POUDRE POUR SOLUTION INJECTABLE,20 MG/ML
6118000020448,EFFICORT HYDROPHILE,HYDROCORTISONE,CREME,0.127 %
6118000230182,SEPCEN 500 MG,CIPROFLOXACINE,COMPRIME,500 MG
6118001150090,CELESTENE,BETAMETHASONE,SOLUTION INJECTABLE,8 MG
6118001150106,CELESTENE CHRONODOSE,BETAMETHASONE,SOLUTION INJECTABLE,5.7 MG
6118001271023,ZIDIME 1G,CEFTAZIDIME,POUDRE POUR PREPARATION INJECTABLE,1 G
6118000020295,POSINE,SYNEPHRINE / DIGLUCONATE DE CHLORHEXIDINE,COLLYRE,0.12 / 0.025 G / G
6118001150762,COCCULINE,SOUCHE HOMEOPATHIQUE,GLOBULE DOSE,nan nan
6118000090588,PEVAGINE,ECONAZOLE,OVULE,150 MG
6118001184385,JAVLOR 25 MG/ML,VINFLUNINE,SOLUTION A DILUER POUR PERFUSION,250 MG
6118010116445,LIFONGID,TERBINAFINE,CREME,1 %
6118000031918,"PERIANEST 0,25%",BUPIVACAINE,SOLUTION INJECTABLE,0.25 %
6118001120581,LEPONEX,CLOZAPINE,COMPRIME SECABLE,100 MG
6118001141135,SEREVENT,SALMETEROL,SUSPENSION POUR INHALATION,25 µG
6118000270072,ACETATE EM 142,CONCENTRE POUR HEMODIALYSE,SOLUTE CONCENTRE,nan nan
6118010035258,HICONCIL,AMOXICILLINE,GELULE,500 MG
6118000180098,CATALGINE,ACIDE ACETYLSALICYLIQUE,POUDRE POUR SOLUTION BUVABLE,250 MG
6118010029806,TANGANIL,ACETYLLEUCINE,COMPRIME,500 MG
6118010001710,ADENOCYNENESINE,SOUCHE HOMEOPATHIQUE,SOLUTION POUR GOUTTES BUVABLES,nan nan
6118010115813,CEFTAJECT I.V 500 MG/5ML,CEFTRIAXONE,POUDRE POUR SOLUTION INJECTABLE,500 MG
6118000081524,AMEP 5,AMLODIPINE,COMPRIME,5 MG
6118010120961,FACTIVE 320 MG,MESYLATE DE GEMIFLOXACINE,COMPRIME PELLICULE,426.40 MG
6118010035630,"INNOHEP 3500 UI ANTI-XA/0,35 ML",TINZAPARINE,SOLUTION INJECTABLE,10000 UI
6118000071532,METOSPIR,SPIRAMYCINE / METRONIDAZOLE,COMPRIME DISPERSIBLE,1.5 / 250 MUI / MG
6118000260066,BICARBONATE SLF307,CONCENTRE POUR HEMODIALYSE,SOLUTE CONCENTRE,nan nan
6118000040514,LONGAMYCINE,DOXYCYCLINE,GELULE,200 MG
6118000020332,BUCCOTHYMOL,LIDOCAINE / ACIDE SALICYLIQUE,SOLUTION POUR BAIN DE BOUCHE,0.1 / 0.1 G / G
6118001170494,VFEND,VORICONAZOLE,POUDRE POUR PERFUSION,200 MG
6118001170173,GYNO-TROSYD,TIOCONAZOLE,OVULE,300 MG
6118000010593,EQUANIL,MEPROBAMATE,SOLUTION INJECTABLE,400 MG
6118000060017,AMAREL,GLIMEPIRIDE,COMPRIME,3 MG
6118000161011,AMBATROL,NIFUROXAZIDE,SUSPENSION BUVABLE,4 %
6118000140399,POLERY AD.,CODEINE / ERYSIMUM,SIROP,11.8 / 443 MG / MG
6118010120411,STALEVO 50/12.5/200 MG,ENTACAPONE / LEVODOPA / CARBIDOPA,COMPRIME PELLICULE,200 / 50 / 13.50 MG / MG / MG
6118010115288,GLIMEWIN,GLIMEPIRIDE,COMPRIME,2 MG
6118001000265,TECAN,IRINOTECAN,SOLUTION A DILUER POUR PERFUSION,100 MG
6118001184170,REVLIMID 15 MG,LENALIDOMIDE,GELULE,15 MG
6118000031574,GRISEO,GRISEOFULVINE,COMPRIME,250 MG
6118000020820,OSPAMOX,AMOXICILLINE,COMPRIME DISPERSIBLE,500 MG
6118001270095,LEVOPHTA,LEVOCABASTINE,COLLYRE,0.05 %
6118001030132,COTAREG,VALSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,160 / 25 MG / MG
6118010118593,FLUCONAZOLE WIN 150 MG,FLUCONAZOLE,GELULE,150 MG
6118000070153,BIODROXIL,CEFADROXIL,GELULE,500 MG
6118001183753,RISPERDALCONSTA LP 37.5MG/2ML,RISPERIDONE,POUDRE POUR SUSPENSION INJECTABLE LP,37.5 MG/2ML
6118001010271,NOMADOL 100 MG/2ML,TRAMADOL,SOLUTION INJECTABLE IV,100 MG
6118001200511,FUCIDINE,ACIDE FUSIDIQUE,COMPRIME PELLICULE,250 MG
6118001182817,EFFEXOR,VENLAFAXINE,COMPRIME,25 MG
6118010033285,REBIF 22 µG,INTERFERON BETA-1A,PREPARATION INJECTABLE,22 µG
6118010118265,AZANTAX,PACLITAXEL,SOLUTION A DILUER POUR PERFUSION,150 MG
6118001101689,DOXORUBICINE COOPER,DOXORUBICINE,LYOPHILISAT POUR PERFUSION,50 MG
6118000010661,ERYTHROCINE,ERYTHROMYCINE,GRANULE POUR SUSPENSION BUVABLE,500 MG
6118000081395,VERTIS,BETAHISTINE,COMPRIME,8 MG
6118001030460,CIBACEN,BENAZEPRIL,COMPRIME PELLICULE,10 MG
6118001100279,DACRYOBORALINE,SYNEPHRINE,COLLYRE,50 MG
6118000030881,SEDERGINE,ACIDE ACETYLSALICYLIQUE / ACIDE ASCORBIQUE (VITAMINE C),COMPRIME EFFERVESCENT SECABLE,330 / 200 MG / MG
6118000050766,DICLOBERL,DICLOFENAC,SOLUTION INJECTABLE,75 MG
6118000260127,ACIDE SLF275M,CONCENTRE POUR HEMODIALYSE,SOLUTE CONCENTRE,nan nan
6118000021636,DERZOL,FLUCONAZOLE,GELULE,150 MG
6118001040568,SIFROL 0.26 MG,PRAMIPEXOLE,COMPRIME LP,0.26 MG
6118001120413,ADRIBLASTINE,DOXORUBICINE,LYOPHILISAT POUR PERFUSION,10 MG
6118001170715,LYRICA,PREGABALIN,GELULE,300 MG
6118001010028,D-RUBICIN-10,DOXORUBICINE,POUDRE POUR PERFUSION,10 MG
6118010118203,PRISDAL,RISPERIDONE,COMPRIME PELLICULE,0.5 MG
6118001250646,FERRIPROX,DEFERIPRONE,COMPRIME PELLICULE SECABLE,500 MG
6118000050230,POLARAMINE,DEXCHLORPHENIRAMINE,COMPRIME SECABLE,2 MG
6118001050109,FORTOVASE,SAQUINAVIR,CAPSULE MOLLE,200 MG
6118001140336,FLIXOTIDE,FLUTICASONE,SUSPENSION POUR INHALATION,250 µG
6118010031748,KIDROLASE,ASPARAGINASE,POUDRE POUR SOLUTION INJECTABLE,10000 UI
6118001150854,RETISOL-A,TRETINOINE,CREME,0.1 %
6118000020837,STARPEN,PHENOXYMETHYLPENICILLINE BENZATHINE,GRANULE POUR SUSPENSION BUVABLE,0.25 MUI
6118010025594,"TIM-87 0,5 %",TIMOLOL,COLLYRE,0.5 %
6118001183760,RISPERDALCONSTA LP 50MG/2ML,RISPERIDONE,POUDRE POUR SUSPENSION INJECTABLE LP,50 MG/2ML
6118000180586,PARFENAC 5%,BUFEXAMAC,CREME,5 %
6118001050758,MIRCERA 150 µG/0.3 ML,EPOETINE BETA,SOLUTION INJECTABLE,150 µG
6118000330059,LOSARTAN /HCTZ GT,LOSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE SECABLE,50 / 12.5 MG / MG
6118000280279,LORIX,LORATADINE,COMPRIME,10 MG
6118000190561,LYSOPURIC,ALLOPURINOL,COMPRIME SECABLE,100 MG
6118001230303,PACLITAXEL PHARMACHEMIE 6MG/ML,PACLITAXEL,CONCENTRE POUR SOLUTION POUR PERFUSION,30 MG
6118010126086,NEOCLAV 100 MG/12.5 MG/ ML ENFANT,AMOXICILLINE / ACIDE CLAVULANIQUE,POUDRE POUR SUSPENSION BUVABLE,100 / 12.5 MG / MG
6118001071654,AZARGA 10 MG/ML+5 MG/ML,BRINZOLAMIDE / TIMOLOL,COLLYRE,10 / 5 MG / MG
6118001121069,OSPEN,PHENOXYMETHYLPENICILLINE,COMPRIME SECABLE,1 MUI
6118001270514,RAMIPRIL/HCTZ GT,RAMIPRIL / HYDROCHLOROTHIAZIDE,COMPRIME,5 / 25 MG / MG
6118001120161,KLIOGEST,ESTRADIOL / NORETHISTERONE,COMPRIME PELLICULE,2 / 1 MG / MG
6118001151165,VIRAFERONPEG 50 µG,INTERFERON ALFA-2B PEGYLE,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,50 µG
6118000290018,COZAAR,LOSARTAN,COMPRIME ENROBE SECABLE,50 MG
6118000190899,TRISULFA,SULFAMETHOXAZOLE / TRIMETHOPRIME,COMPRIME,400 / 80 MG / MG
6118000310327,TRIBUTINE 150 MG,TRIMEBUTINE,GELULE,150 MG
6118001050307,NEUPOGEN,FILGRASTIM,SOLUTION INJECTABLE,48 MUI
6118000280026,AKINDEX SIROP ADULTE,DEXTROMETHORPHANE,SIROP,0.133 G
6118000031765,PARANTAL C 1000,PARACETAMOL / ACIDE ASCORBIQUE (VITAMINE C),COMPRIME EFFERVESCENT,500 / 1000 MG / MG
6118000141068,ANCINE PLUS 100MG/25MG,LOSARTAN / HYDROCHLOROTHIAZIDE,COMPRIME PELLICULE,100 / 25 MG / MG
6118001140299,FLIXONASE,FLUTICASONE,SUSPENSION NASALE,50 µG
6118001081707,TRITAZIDE 10MG / 25MG,RAMIPRIL / HYDROCHLOROTHIAZIDE,COMPRIME SECABLE,10 / 25 MG / MG
6118001220038,AULCER 20 MG,OMEPRAZOLE,GELULE,20 MG
6118000051114,URADOX 2 MG,DOXAZOSINE,COMPRIME,2 MG
6118001101092,VIRGAN,GANCICLOVIR,GEL OPHTALMIQUE,0.15 %
6118001210046,CAPD/DPCA 4,CONCENTRE POUR DIALYSE PERITONEALE,SOLUTION POUR DIALYSE PERITONEALE,nan nan
6118001110582,PHARMAETHYL,TETRAFLUOROETHANE,GAZ LIQUEFIE,99.95 G
6118001110087,URGOCOR CORICIDE,ACIDE SALICYLIQUE,PANSEMENT MEDICAMENTEUX,32 MG
6118000020349,COQUELUSEDAL PARACETAMOL NOURRISSON,GELSEMIUM / GRINDELIA / PARACETAMOL,SUPPOSITOIRE,5 / 10 / 100 MG / MG / MG
6118000021148,CLORACEF,CEFACLOR,COMPRIME DISPERSIBLE,500 MG
6118001110216,OROTREX,ISOTRETINOINE,CAPSULE MOLLE,20 MG
6118001184378,JAVLOR 25MG/ML,VINFLUNINE,SOLUTION A DILUER POUR PERFUSION,50 MG
6118000081210,SULFAM,GLICLAZIDE,COMPRIME SECABLE,80 MG
6118001120048,HOLOXAN,IFOSFAMIDE,POUDRE POUR PERFUSION,500 MG
